,BID NO,items,Quantity Required,Department Name And Address,Start Date,End Date
0,GEM/2020/B/556195,Automatic Fully Mechanised Organic Waste Machine For Compost,2,"Uttar Pradesh
Urban Development Department Uttar Pradesh
Saharanpur Nagar Nigam N/a",19-02-2020 11:53 AM,04-03-2020 04:00 PM
1,GEM/2020/B/554821,Workstation,3,"Pmo
Na
Department Of Space, Isro N/a",18-02-2020 03:25 PM,04-03-2020 04:00 PM
2,GEM/2020/B/544926,Portable Fire Extinguishers BS EN Standard Based,200,"Pmo
Department Of Atomic Energy
Tamilnadu Nuclear Power Corporation Of India Limited",18-02-2020 04:00 PM,04-03-2020 04:00 PM
3,GEM/2020/B/543547,Video Laryngoscope,1,"Puducherry
Health And Family Welfare Services Department Puducherry
Puducherry N/a",11-02-2020 04:56 PM,04-03-2020 04:00 PM
4,GEM/2020/B/554845,Drinking Water Cooler,1,"Himachal Pradesh
Technical Education Department Himachal Pradesh
Department Of Technical Education N/a",18-02-2020 04:08 PM,04-03-2020 04:00 PM
5,GEM/2020/RA/35490,DSLR/ COMPACT / HANDHELD CAMCORDER Or VIDEO CAMERAS,2,"Tamil Nadu
Personnel And Administrative Reforms Department Tamil Nadu
Anna Institute Of Management Anna Institute Of Management",02-03-2020 04:58 PM,04-03-2020 04:00 PM
6,GEM/2020/B/554860,Domestic Refrigerators,2,"Ministry Of Defence
Department Of Defence Reseach & Development
Tezpur Assam Office Of Dg (ls)",18-02-2020 03:15 PM,04-03-2020 04:00 PM
7,GEM/2020/B/558106,Quilts,14,"Ministry Of Petroleum And Natural Gas
Gail India Limited
Dibiyapur Gail India Limited",20-02-2020 11:06 AM,04-03-2020 04:00 PM
8,GEM/2020/B/554876,Business Letter Head Or Do Letter,160,"Ministry Of Textiles
Na
Head Quarters Textiles Committee",18-02-2020 03:38 PM,04-03-2020 04:00 PM
9,GEM/2020/B/562332,Yearly Planners,170,"Ministry Of Defence
Department Of Defence
Air Force Station Kumbhirgram / Assam Indian Air Force",23-02-2020 03:01 PM,04-03-2020 04:00 PM
10,GEM/2020/B/562333,Float Valves,450,"Ministry Of Defence
Department Of Defence
Cwe Pithoragarh Military Engineer Services",23-02-2020 03:09 PM,04-03-2020 04:00 PM
11,GEM/2020/B/562336,Waste Containers Or Rigid Liners- Dust Bin Or Garbage Bin Or Household Bin,50,"Uttar Pradesh
Urban Development Department Uttar Pradesh
Nagar Palika Parishad Mirzapur E-municipalities - Eservices To Citizens And Employees Of Urban Local Bodies Of Uttar Pradesh",23-02-2020 03:49 PM,04-03-2020 04:00 PM
12,GEM/2020/B/561870,Tricycle Or Rickshaw,8,"Gujarat
Panchayats And Rural Housing Department Gujarat
District Panchayat Navsari N/a",23-02-2020 11:45 AM,04-03-2020 04:00 PM
13,GEM/2020/B/561186,Multifunction Machines MFM,3,"Pmo
Department Of Atomic Energy
Directorate Of Purchase And Stores N/a",21-02-2020 07:03 PM,04-03-2020 04:00 PM
14,GEM/2020/B/558136,Quilts,7,"Ministry Of Petroleum And Natural Gas
Gail India Limited
Dibiyapur Gail India Limited",20-02-2020 11:15 AM,04-03-2020 04:00 PM
15,GEM/2020/B/554906,Package No.2: ATAL TINKERING LAB OF NITI AAYOG RAPID PROTOTYPING TOOLS,1,"Gujarat
Education Department Gujarat
Rajkot Saurashtra University Rajkot",18-02-2020 03:29 PM,04-03-2020 04:00 PM
16,GEM/2020/B/554914,Lead Acid Battery,32,"Ministry Of Labour And Employment
Na
South Employees State Insurance Corporation (esic)",19-02-2020 09:49 AM,04-03-2020 04:00 PM
17,GEM/2020/B/561901,Almirah Steel,4,"Ministry Of Human Resource Development
Department Of School Education And Literacy
Sonepur Kv Kendriya Vidyalaya Sangathan (kvs)",22-02-2020 03:57 PM,04-03-2020 04:00 PM
18,GEM/2020/B/554924,Municipal Solid Waste Single Shaft Shredder,1,"Ministry Of Defence
Department Of Defence Reseach & Development
Tezpur Assam Office Of Dg (ls)",18-02-2020 03:30 PM,04-03-2020 04:00 PM
19,GEM/2020/B/549626,Tablet Computers,5000,"Uttar Pradesh
Home Department Uttar Pradesh
Technical Services Hq Uttar Pradesh Police",14-02-2020 06:30 PM,04-03-2020 04:00 PM
20,GEM/2020/B/545697,Modular Table,1,"Ministry Of Road Transports And Highways
Na
Nhai New Delhi N/a",12-02-2020 04:01 PM,04-03-2020 04:00 PM
21,GEM/2020/B/553546,Soldering And Desoldering Station With Digital Display,1,"Ministry Of Human Resource Development
Department Of Higher Education
University Of Delhi University Of Delhi",17-02-2020 06:24 PM,04-03-2020 04:00 PM
22,GEM/2020/B/547587,Reciprocal Shakers- Mechanical Shaker Machine With Timer,1,"Ministry Of Commerce And Industry
Department Of Commerce
Head Office Spices Board India",13-02-2020 03:28 PM,04-03-2020 04:00 PM
23,GEM/2020/B/552407,Liquid Crystal Display LCD Panel Or Monitors,2,"Ministry Of Human Resource Development
Department Of Higher Education
University Of Delhi University Of Delhi",17-02-2020 03:13 PM,04-03-2020 04:00 PM
24,GEM/2020/B/537044,Aadhaar Enrolment Kit,70,"Tripura
Rural Development Department Tripura
Office Of The Chief Engineer Rd Department N/a",18-02-2020 01:50 PM,04-03-2020 04:00 PM
25,GEM/2020/B/538885,Full Body Protector(MHA),25,"Ministry Of Power
Hydro Power
Indira Sagar Power Station Nhdc Limited",08-02-2020 04:38 PM,04-03-2020 04:00 PM
26,GEM/2020/B/562193,Wrestling Mats,13,"Himachal Pradesh
Education Department Himachal Pradesh
Directorate Of Higher Education Higher Education Department",22-02-2020 09:45 PM,04-03-2020 04:00 PM
27,GEM/2020/RA/34989,Multifunction Machines MFM,2,"Ministry Of Agriculture And Farmers Welfare
Department Of Agricultural Research And Education (dare)
Hyderabad Indian Council Of Agricultural Research (icar)",02-03-2020 04:16 PM,04-03-2020 04:00 PM
28,GEM/2020/B/551521,Toilet Cleaners Liquid,500,"Ministry Of Science And Technology
Department Of Science And Technology (dst)
Thiruvananthapuram Sree Chitra Tirunal Institute For Medical Sciences And Technology (sctimst)",16-02-2020 12:25 AM,04-03-2020 04:00 PM
29,GEM/2020/B/554994,Rugged Notebook-laptop,2,"Pmo
Na
Department Of Space, Isro N/a",18-02-2020 04:25 PM,04-03-2020 04:00 PM
30,GEM/2020/B/547637,Rain Jacket ( With Integrated Hood And Trouser ),111,"Ministry Of Railways
Na
Kapurthala Rail Coach Factory Kapurthala",13-02-2020 03:37 PM,04-03-2020 04:00 PM
31,GEM/2020/RA/34446,Portable Welding Machine,1,"Madhya Pradesh
Technical Education And Man Power Planning Department Madhya Pradesh
Government Polytechnic College Itarsi Directorate Of Technical Education Government Of Madhya Pradesh Bhopal",02-03-2020 04:16 PM,04-03-2020 04:00 PM
32,GEM/2020/B/555700,Tractors,2,"Bihar
Urban Development & Housing Department Bihar
Nagarparishadsiwan Urban Development And Housing Department",22-02-2020 03:40 PM,04-03-2020 04:00 PM
33,GEM/2020/B/554790,Binocular,36,"Ministry Of Defence
Department Of Defence Production
Commercial Department Goa Shipyard Limited",19-02-2020 08:55 AM,04-03-2020 04:00 PM
34,GEM/2020/B/545566,Waste Containers Or Rigid Liners- Dust Bin Or Garbage Bin Or Household Bin,726,"Ministry Of Defence
Department Of Defence
Ins Venduruthy Indian Navy",12-02-2020 04:03 PM,04-03-2020 04:00 PM
35,GEM/2020/B/535055,Wireless Network Interface Cards Usb Data Card/ Router/ Dongle,204,"Uttar Pradesh
Revenue Department Uttar Pradesh
Collectorate Campus Hamirpur Up 210301 Board Of Revenue Government Of Uttar Pradesh",05-02-2020 05:34 PM,04-03-2020 04:00 PM
36,GEM/2020/B/558044,Cotton Towels,72,"Ministry Of Petroleum And Natural Gas
Gail India Limited
Dibiyapur Gail India Limited",20-02-2020 10:47 AM,04-03-2020 04:00 PM
37,GEM/2020/RA/35689,Air Conditioner,1,"Ministry Of Textiles
Na
Cstri Central Silk Board",02-03-2020 04:43 PM,04-03-2020 04:15 PM
38,GEM/2020/B/545807,"Seamless Steel Tube Assembly-TUBULARS AND OTHER WROUGHT STEEL FITTINGS, RISER PIPE",43,"Ministry Of Railways
Na
South Central Railway N/a",13-02-2020 10:58 AM,04-03-2020 05:00 PM
39,GEM/2020/B/554358,Buy Back - Stationary Value Regulated Lead Acid Batteries,841,"Kerala
Finance Department Kerala
Directorate Of Treasuries N/a",18-02-2020 12:42 PM,04-03-2020 05:00 PM
40,GEM/2020/B/535988,Line Intractive UPS With AVR,60,"Gujarat
Health & Family Welfare Department Gujarat
Rajkot Pdu Civil Hospital Rajkot",10-02-2020 02:54 PM,04-03-2020 05:00 PM
41,GEM/2020/B/555052,Television TV,32,"Tamil Nadu
Personnel And Administrative Reforms Department Tamil Nadu
Anna Institute Of Management Anna Institute Of Management",19-02-2020 10:25 AM,04-03-2020 05:00 PM
42,GEM/2020/B/545837,Router,6,"Jharkhand
Information Technology Department Jharkhand
Ranchi Uid Cell",12-02-2020 04:47 PM,04-03-2020 05:00 PM
43,GEM/2020/B/561844,Gel Documentation System,1,"Ministry Of Agriculture And Farmers Welfare
Department Of Agricultural Research And Education (dare)
Central Institute For Cotton Reserarch Indian Council Of Agricultural Research (icar)",22-02-2020 04:17 PM,04-03-2020 05:00 PM
44,GEM/2020/RA/35462,Cattle Catcher Vehicle,1,"Uttar Pradesh
Urban Development Department Uttar Pradesh
Unnao N/a",02-03-2020 05:56 PM,04-03-2020 05:00 PM
45,GEM/2020/B/520825,Ambulances,1,"Gujarat
Health & Family Welfare Department Gujarat
Rajkot Pdu Civil Hospital Rajkot",28-01-2020 12:49 PM,04-03-2020 05:00 PM
46,GEM/2020/B/527538,Buses,10,"Jammu & Kashmir
Transport Department Jammu And Kashmir
Road Transport Corporation N/a",01-02-2020 12:38 PM,04-03-2020 05:00 PM
47,GEM/2020/B/562338,Books,3000,"Uttar Pradesh
Woman Welfare Department Uttar Pradesh
Lucknow Directorate Of Bal Vikas & Pushtahar",23-02-2020 04:15 PM,04-03-2020 05:00 PM
48,GEM/2020/B/555114,Electronic Total Station,1,"Ministry Of Science And Technology
Department Of Scientific And Industrial Research (dsir)
Csir Neeri Nagpur Council Of Scientific And Industrial Research (csir)",19-02-2020 03:26 PM,04-03-2020 05:00 PM
49,GEM/2020/B/562343,Backhoe Loaders,1,"Uttar Pradesh
Urban Development Department Uttar Pradesh
Nagar Palika Parishad Etah N/a",23-02-2020 04:38 PM,04-03-2020 05:00 PM
50,GEM/2020/RA/36048,All In One PC,1,"Uttarakhand
Medical Health And Family Welfare Department Uttarakhand
Cmo Office Nainital N/a",23-02-2020 04:48 PM,04-03-2020 05:00 PM
51,GEM/2020/B/562345,Leg Press - Outdoor Gym Equipments,1,"Ministry Of Human Resource Development
Department Of School Education And Literacy
Kv Rbnm Salboni Kendriya Vidyalaya Sangathan (kvs)",23-02-2020 04:53 PM,04-03-2020 05:00 PM
52,GEM/2020/B/557667,Wet Grinder,1,"Odisha
Housing And Urban Development Department Odisha
Bhawanipatna Municipality Commissioner-cum-secy. To Govt.,h&u.d. Deptt.,bhubaneswar",23-02-2020 07:02 AM,04-03-2020 05:00 PM
53,GEM/2020/B/562351,Air Walker- Air Stroller- Outdoor Gym Equipment,1,"Ministry Of Human Resource Development
Department Of School Education And Literacy
Kv Rbnm Salboni Kendriya Vidyalaya Sangathan (kvs)",23-02-2020 04:57 PM,04-03-2020 05:00 PM
54,GEM/2020/B/553988,Portable Ventilator,1,"Tamil Nadu
Health And Family Welfare Department Tamil Nadu
Institute Of Medicine Chetpet Chennai31 N/a",18-02-2020 10:49 AM,04-03-2020 05:00 PM
55,GEM/2020/B/531953,Labels Stickers,504,"Ministry Of Communications
Department Of Posts
Office Of The Chief Postmaster General Tamilnadu Circle Chennai 600002 Tamil Nadu Postal Circle Department Of Posts",04-02-2020 02:31 PM,04-03-2020 05:00 PM
56,GEM/2020/B/542714,Visual Presenters,1,"Ministry Of Human Resource Development
Department Of School Education And Literacy
Kendriya Vidyalaya No Ii Korba Ntpc Kendriya Vidyalaya Sangathan (kvs)",11-02-2020 11:26 AM,04-03-2020 05:00 PM
57,GEM/2020/B/561221,Flying Insect Control Traps- Fly Catcher,4,"Odisha
Housing And Urban Development Department Odisha
Bhawanipatna Municipality Commissioner-cum-secy. To Govt.,h&u.d. Deptt.,bhubaneswar",23-02-2020 06:58 AM,04-03-2020 05:00 PM
58,GEM/2020/RA/35903,Desktop Computers,2,"Puducherry
Public Works Department Puducherry
Pwd Mahe Public Works Department Mahe",02-03-2020 05:10 PM,04-03-2020 05:00 PM
59,GEM/2020/B/561231,High Pressure Washer,1,"Odisha
Housing And Urban Development Department Odisha
Bhawanipatna Municipality Commissioner-cum-secy. To Govt.,h&u.d. Deptt.,bhubaneswar",23-02-2020 06:56 AM,04-03-2020 05:00 PM
60,GEM/2020/B/553083,Steel Porta Cabin,2,"Maharashtra
Urban Development Department
Panchgani Municipal Council Municipal Council",17-02-2020 04:06 PM,04-03-2020 05:00 PM
61,GEM/2020/B/561238,PLASTIC BODY EVAPORATIVE COOLERS- DESERT COOLER,4,"Odisha
Housing And Urban Development Department Odisha
Bhawanipatna Municipality Commissioner-cum-secy. To Govt.,h&u.d. Deptt.,bhubaneswar",23-02-2020 06:55 AM,04-03-2020 05:00 PM
62,GEM/2020/RA/33859,Fire Fighting And Hydraulic Rescue Platform,2,"Odisha
Home Department Odisha
Cuttack Directorate General Of Fire Service Home Guards & Civil Defence Odisha",02-03-2020 05:07 PM,04-03-2020 05:00 PM
63,GEM/2020/RA/35723,Multimedia Projector (MMP),1,"Ministry Of Human Resource Development
Department Of Higher Education
University Of Delhi University Of Delhi",29-02-2020 07:05 PM,04-03-2020 05:00 PM
64,GEM/2020/B/561244,Domestic Electric Juicer,1,"Odisha
Housing And Urban Development Department Odisha
Bhawanipatna Municipality Commissioner-cum-secy. To Govt.,h&u.d. Deptt.,bhubaneswar",23-02-2020 06:52 AM,04-03-2020 05:00 PM
65,GEM/2020/B/553106,Television TV,1,"Ministry Of Home Affairs
Central Police Organisation
Mumbai National Investigation Agency (nia)",17-02-2020 04:11 PM,04-03-2020 05:00 PM
66,GEM/2020/B/545964,Revolving Chair,2,"Ministry Of Finance
Department Of Financial Services
Visakhapatnam Debts Recovery Tribunal Visakhapatnam",12-02-2020 04:54 PM,04-03-2020 05:00 PM
67,GEM/2020/B/562189,Automatic Fully Mechanised Organic Waste Machine For Compost,1,"Chhattisgarh
Urban Development Department Chhattisgarh
Nagar Palika Gariyaband Naya Raipur Develoment Authority",22-02-2020 10:14 PM,04-03-2020 05:00 PM
68,GEM/2020/RA/35444,Steam Sterlizer,1,"Telangana
Animal Husbandry And Fisheries Department Telangana
Shanthinagar,hyderabad N/a",02-03-2020 05:15 PM,04-03-2020 05:00 PM
69,GEM/2020/B/545975,Domestic Food Storage Containers,5000,"Chandigarh
Education Department Chandigarh
Sector 32, Chandigarh Government Medical College And Hospital",12-02-2020 04:56 PM,04-03-2020 05:00 PM
70,GEM/2020/B/561963,Air Conditioner,40,"Ministry Of Coal
Materials Management
Central Coalfields Limited Central Coalfields Limited",22-02-2020 04:34 PM,04-03-2020 05:00 PM
71,GEM/2020/B/536142,DSLR/ COMPACT / HANDHELD CAMCORDER Or VIDEO CAMERAS,1,"Ministry Of Environment Forest And Climate Change
Na
Forest Research Institute, Dehradun Indian Council Of Forestry Research And Education (icfre)",20-02-2020 12:31 PM,04-03-2020 05:00 PM
72,GEM/2020/B/561977,Desktop Computers,40,"Jammu & Kashmir
Health And Family Welfare Department Jammu And Kashmir
Kathua Government Medical College",22-02-2020 04:51 PM,04-03-2020 05:00 PM
73,GEM/2020/RA/35888,Mobile Toilet,1,"Uttar Pradesh
Urban Development Department Uttar Pradesh
Nagar Panchayat Bilram Kasganj E-municipalities - Eservices To Citizens And Employees Of Urban Local Bodies Of Uttar Pradesh",21-02-2020 04:14 PM,04-03-2020 05:00 PM
74,GEM/2020/B/555220,Desktop Computers,31,"Tripura
Higher Education Department Tripura
Agartala Directorate Of Higher Education",19-02-2020 12:38 PM,04-03-2020 05:00 PM
75,GEM/2020/RA/35889,Tricycle Or Rickshaw,9,"Uttar Pradesh
Urban Development Department Uttar Pradesh
Nagar Panchayat Bilram Kasganj E-municipalities - Eservices To Citizens And Employees Of Urban Local Bodies Of Uttar Pradesh",21-02-2020 04:13 PM,04-03-2020 05:00 PM
76,GEM/2020/B/556602,High Mast Pole With LED Flood Lighting System,4,"Uttar Pradesh
Urban Development Department Uttar Pradesh
Nagar Panchayat Manikpur N/a",19-02-2020 01:23 PM,04-03-2020 05:00 PM
77,GEM/2020/B/561990,Laptop-Notebook,1,"Ministry Of Heavy Industries And Public Enterprises
Department Of Heavy Industry
Jaipur Hindustan Salts Limited",22-02-2020 04:53 PM,04-03-2020 05:00 PM
78,GEM/2020/B/528606,"XLPE Cables, Categpory: C1-FR, For Working Voltages From 3.3 KV Up To And Including 33 KV",500,"Ministry Of Power
Na
Nhpc Ltd N/a",10-02-2020 05:17 PM,04-03-2020 05:00 PM
79,GEM/2020/B/530886,Segregation Cart,8,"Maharashtra
Urban Development Department
Municipal Council Kalamb Municipal Council",03-02-2020 04:57 PM,04-03-2020 05:00 PM
80,GEM/2020/B/547876,Desktop Computers,13,"Chandigarh
Education Department Chandigarh
Sector 32, Chandigarh Government Medical College And Hospital",13-02-2020 04:54 PM,04-03-2020 05:00 PM
81,GEM/2020/B/545775,Laboratory Incubators,1,"Ministry Of Health And Family Welfare
Department Of Health Research
Puducherry Indian Council Of Medical Research (icmr)",17-02-2020 04:56 PM,04-03-2020 05:00 PM
82,GEM/2020/B/562240,Portable Fire Extinguishers IS 15683,6,"Odisha
Housing And Urban Development Department Odisha
Bhawanipatna Municipality Commissioner-cum-secy. To Govt.,h&u.d. Deptt.,bhubaneswar",23-02-2020 07:11 AM,04-03-2020 05:00 PM
83,GEM/2020/B/562241,Power Generators And Portable Generator,1,"Odisha
Housing And Urban Development Department Odisha
Bhawanipatna Municipality Commissioner-cum-secy. To Govt.,h&u.d. Deptt.,bhubaneswar",23-02-2020 07:28 AM,04-03-2020 05:00 PM
84,GEM/2020/B/555023,Workstation,1,"Ministry Of Agriculture And Farmers Welfare
Department Of Agricultural Research And Education (dare)
Icar- Indian Institute Of Soybean Research, Indore Indian Council Of Agricultural Research (icar)",18-02-2020 04:15 PM,04-03-2020 05:00 PM
85,GEM/2020/B/545799,Lead Acid Battery,50,"Ministry Of Finance
Department Of Revenue
National Academy Of Direct Taxes Central Board Of Direct Taxes (cbdt)",12-02-2020 05:57 PM,04-03-2020 05:00 PM
86,GEM/2020/B/555030,Astronomical Timer For Street Light Control (Timer Controls),100,"Ministry Of Mines
Na
Alumina Refinery Nalco Damanjodi N/a",18-02-2020 04:23 PM,04-03-2020 05:00 PM
87,GEM/2020/B/541688,Mosquito Net LLINs,5000,"Ministry Of Home Affairs
Central Armed Police Forces
Directorate General National Security Guard (nsg)",12-02-2020 10:35 AM,04-03-2020 05:00 PM
88,GEM/2020/B/557819,Line Intractive UPS With AVR,12,"Rajasthan
Employment Department Rajasthan
Directorate Of Employment Directorate Of Employment",22-02-2020 10:54 AM,04-03-2020 06:00 PM
89,GEM/2020/B/557821,Multifunction Machines MFM,2,"Rajasthan
Employment Department Rajasthan
Directorate Of Employment Directorate Of Employment",22-02-2020 10:54 AM,04-03-2020 06:00 PM
90,GEM/2020/B/555271,Plotter Paper Roll,60,"Ministry Of Coal
Materials Management
Singrauli Northern Coalfields Limited",19-02-2020 10:32 AM,04-03-2020 06:00 PM
91,GEM/2020/B/555277,Random Access Memory,1,"Pmo
Na
Department Of Space, Isro N/a",19-02-2020 02:29 PM,04-03-2020 06:00 PM
92,GEM/2020/B/555278,LED Luminaire (For Road And Street Lights),250,"Jammu & Kashmir
Housing And Urban Development Department Jammu And Kashmir
Municipal N/a",19-02-2020 03:36 PM,04-03-2020 06:00 PM
93,GEM/2020/B/555291,Desktop Computers,61,"Ministry Of Human Resource Development
Department Of Higher Education
Karnataka, Surathkal, Mangaluru National Institute Of Technology (nit)",19-02-2020 09:10 AM,04-03-2020 06:00 PM
94,GEM/2020/B/562061,Chilly,847,"Ministry Of Defence
Department Of Defence
Amc Centre And College Lucknow Indian Army",22-02-2020 05:58 PM,04-03-2020 06:00 PM
95,GEM/2020/RA/34047,Laptop-Notebook,2,"Ministry Of Human Resource Development
Department Of Higher Education
Mandi At Kamand Indian Institute Of Technology (iit)",02-03-2020 06:32 PM,04-03-2020 06:00 PM
96,GEM/2020/RA/35460,Hopper Tipper Dumper,1,"Uttar Pradesh
Urban Development Department Uttar Pradesh
Unnao N/a",02-03-2020 06:07 PM,04-03-2020 06:00 PM
97,GEM/2020/B/548187,Plastic Bailing Machine,1,"Chhattisgarh
Urban Development Department Chhattisgarh
Municipal Council Kawardha N/a",13-02-2020 06:05 PM,04-03-2020 06:00 PM
98,GEM/2020/B/555318,Desktop Computers,1,"Ministry Of Labour And Employment
Na
Solapur Maharashtra Employees Provident Fund Organisation (epfo)",19-02-2020 09:42 AM,04-03-2020 06:00 PM
99,GEM/2020/B/555324,Paper Shredding Machines,2,"West Bengal
Finance Department West Bengal
Public Service Commission West Bengal Secretariat",19-02-2020 02:48 PM,04-03-2020 06:00 PM
